"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 25 21:48:55 BST 2020","Sat Jul 25 21:48:55 BST 2020","446","","Search Functionality Feature: Verify products are displayed on Successfull Search","","Search Functionality Feature: Verify products are displayed on Successfull Search","When User enter ""T-SHIRTS"" in the search input box","When User enter ""T-SHIRTS"" in the search input box",""
"passed","Sat Jul 25 21:49:02 BST 2020","Sat Jul 25 21:49:03 BST 2020","365","","Search Functionality Feature: Verify No results page is displayed on Unsuccessful Search","","Search Functionality Feature: Verify No results page is displayed on Unsuccessful Search","When User enter ""floral"" in the search input box","When User enter ""floral"" in the search input box",""
"passed","Sat Jul 25 21:48:57 BST 2020","Sat Jul 25 21:48:58 BST 2020","577","","Search Functionality Feature: Verify products are displayed on Successfull Search","","Search Functionality Feature: Verify products are displayed on Successfull Search","When User enter ""EVENING DRESSES"" in the search input box","When User enter ""EVENING DRESSES"" in the search input box",""
"passed","Sat Jul 25 21:48:51 BST 2020","Sat Jul 25 21:48:52 BST 2020","507","","Search Functionality Feature: Verify products are displayed on Successfull Search","","Search Functionality Feature: Verify products are displayed on Successfull Search","When User enter ""Dress"" in the search input box","When User enter ""Dress"" in the search input box",""
"passed","Sat Jul 25 21:49:00 BST 2020","Sat Jul 25 21:49:00 BST 2020","413","","Search Functionality Feature: Verify No results page is displayed on Unsuccessful Search","","Search Functionality Feature: Verify No results page is displayed on Unsuccessful Search","When User enter ""shorts"" in the search input box","When User enter ""shorts"" in the search input box",""
"passed","Sat Jul 25 21:48:58 BST 2020","Sat Jul 25 21:48:59 BST 2020","974","","Search Functionality Feature: Verify products are displayed on Successfull Search","","Search Functionality Feature: Verify products are displayed on Successfull Search","And Click search submit button","And Click search submit button",""
"passed","Sat Jul 25 21:49:06 BST 2020","Sat Jul 25 21:49:06 BST 2020","0","","Search Functionality Feature: Verify No results page is displayed on Unsuccessful Search","","Search Functionality Feature: Verify No results page is displayed on Unsuccessful Search","Hook","Hook",""
"passed","Sat Jul 25 21:48:59 BST 2020","Sat Jul 25 21:48:59 BST 2020","88","","Search Functionality Feature: Verify products are displayed on Successfull Search","","Search Functionality Feature: Verify products are displayed on Successfull Search","Then Products results are displayed on the page","Then Products results are displayed on the page",""
"passed","Sat Jul 25 21:48:59 BST 2020","Sat Jul 25 21:48:59 BST 2020","0","","Search Functionality Feature: Verify products are displayed on Successfull Search","","Search Functionality Feature: Verify products are displayed on Successfull Search","Hook","Hook",""
"passed","Sat Jul 25 21:49:04 BST 2020","Sat Jul 25 21:49:05 BST 2020","952","","Search Functionality Feature: Verify No results page is displayed on Unsuccessful Search","","Search Functionality Feature: Verify No results page is displayed on Unsuccessful Search","Given User is on automationpractice.com","Given User is on automationpractice.com",""
"passed","Sat Jul 25 21:49:05 BST 2020","Sat Jul 25 21:49:06 BST 2020","1013","","Search Functionality Feature: Verify No results page is displayed on Unsuccessful Search","","Search Functionality Feature: Verify No results page is displayed on Unsuccessful Search","And Click search submit button","And Click search submit button",""
"passed","Sat Jul 25 21:49:05 BST 2020","Sat Jul 25 21:49:05 BST 2020","495","","Search Functionality Feature: Verify No results page is displayed on Unsuccessful Search","","Search Functionality Feature: Verify No results page is displayed on Unsuccessful Search","When User enter ""fasdfas"" in the search input box","When User enter ""fasdfas"" in the search input box",""
"passed","Sat Jul 25 21:49:06 BST 2020","Sat Jul 25 21:49:06 BST 2020","60","","Search Functionality Feature: Verify No results page is displayed on Unsuccessful Search","","Search Functionality Feature: Verify No results page is displayed on Unsuccessful Search","Then No results Message is displayed on the page","Then No results Message is displayed on the page",""
"passed","Sat Jul 25 21:48:56 BST 2020","Sat Jul 25 21:48:57 BST 2020","1009","","Search Functionality Feature: Verify products are displayed on Successfull Search","","Search Functionality Feature: Verify products are displayed on Successfull Search","Given User is on automationpractice.com","Given User is on automationpractice.com",""
